"","X1st","X2nd","X3rd","X4th","X5th","Gender"
"285",6.96,6.24,6.85,7.21,7.71,"Male"
"286",8.22,8.76,7.74,8.46,8.38,"Female"
"287",7.15,6.79,6.75,6.78,6.62,"Male"
"288",7.07,7.66,7.22,7.86,7.31,"Female"
"289",7.52,7.82,7.67,8.21,8.38,"Male"
"290",6.33,6.76,5.7,5.18,5.31,"Male"
"291",7.33,6.62,6.26,6.33,6.81,"Male"
"292",7.89,7.97,7.59,8.25,9.35,"Male"
"293",6.44,6.43,6.52,7.04,6.62,"Male"
"294",6.96,6.41,6.33,5.57,5.35,"Male"
"295",7,6.34,6.07,6.14,7,"Female"
"296",6.26,5.55,6.15,5.04,5.08,"Male"
"297",7.22,6.76,7.48,7.93,7.77,"Male"
"298",6.41,6.48,6.41,6.68,7.08,"Male"
"299",5.96,6.1,6.07,5.36,5.12,"Male"
"300",7.19,7.97,7.3,8.04,8.15,"Male"
"301",7.14,7.79,6.93,7.64,8.65,"Male"
"302",7.19,7.1,6.7,7.36,7.38,"Male"
"303",6.85,6.41,6.19,6.68,6.96,"Male"
"304",8,8.07,7.96,8.46,8.62,"Male"
"305",7.59,7.48,7.41,7.18,7.92,"Male"
"306",6.7,7.34,7.11,7.32,7.35,"Male"
"307",7.59,7.31,7.11,7.68,7.65,"Male"
"308",7.07,6.38,5.3,5.43,4.77,"Male"
"309",6.44,6.48,6.78,6.29,5.81,"Male"
"310",7.19,7,6.74,7.04,7.04,"Male"
"311",6.81,6.38,5.19,5.46,NA,"Female"
"312",6.63,7.03,7,6.75,7.38,"Female"
"313",7.33,7.34,7.22,7.25,7.08,"Male"
"314",7.15,7.79,7.41,NA,7.5,"Female"
"315",7,7.41,7.15,7.04,7.81,"Male"
"316",7.48,7.55,7.67,7.39,8.65,"Female"
"317",7.3,6.41,6.59,7.11,7.38,"Male"
"318",6.3,6.28,5.89,5.71,6.5,"Male"
"319",7.04,7.1,6.81,7,6.92,"Female"
"320",6.7,6.81,6.52,5.39,7,"Male"
"321",8.7,7.83,7.56,8.11,8.07,"Male"
"322",6.81,7.07,5.7,6.29,8.07,"Male"
"323",6.37,5.59,6.33,7.07,7.81,"Female"
"324",6.11,6.55,5.56,6.86,7,"Male"
"325",7.89,8.72,8.19,8.54,9.11,"Male"
"326",7.89,7.97,6.81,8.54,8,"Male"
"327",7.37,5.86,7,7.82,8.21,"Female"
"328",7.48,7.69,7.11,7.93,8.21,"Female"
"329",9.15,8.86,8.34,9.04,9.19,"Male"
"330",7.19,7.45,6.63,7.04,7.79,"Male"
"331",6.85,7.41,6.33,6.39,NA,"Male"
"332",6.44,6.14,6.19,6.82,7.43,"Male"
"333",6.56,6.14,6.33,6.75,7.14,"Female"
"334",8,7.9,7.33,7.47,8.07,"Female"
"335",7.15,6.34,6.56,6.68,6.54,"Female"
"336",7.3,7.07,6.67,6,6.11,"Female"
"337",8.44,7.28,7.96,8,8.29,"Female"
"338",6,5.93,3.96,5.43,6.25,"Male"
"339",5.78,6.28,4.3,6.43,6.75,"Male"
"340",6.37,5.9,5.81,6.04,6.64,"Male"
"341",6.19,6.62,6.3,6.54,7.43,"Male"
"342",6.74,6.72,7.04,7.93,8.32,"Male"
"343",5.52,5.72,6.07,7.11,7.79,"Male"
"344",6.3,6.48,5.63,6.21,6.39,"Male"
"345",6.89,6.69,5.67,6.07,7.39,"Male"
"346",7,7.41,6.37,6.57,7.79,"Male"
"347",6.07,6.07,5.89,6.54,7.81,"Male"
"348",7.11,7.34,6.85,7.96,8.14,"Male"
"349",9.15,9.21,9.59,9.31,9.46,"Female"
"350",7.78,6.86,7.26,7.82,8.36,"Male"
"351",7.59,7.76,7,8.32,8.21,"Female"
"352",7.11,7.41,7,7.32,8.32,"Male"
"353",6.26,6,6.07,5.36,6.21,"Male"
"354",8.3,7.97,8.33,8.29,8.61,"Male"
"355",6.96,5.72,6.33,7.18,NA,"Male"
"356",6.96,6.24,6.85,7.21,7.71,"Male"
"357",8.22,8.76,7.74,8.46,8.38,"Female"
"358",7.15,6.79,6.75,6.78,6.62,"Male"
"359",7.07,7.66,7.22,7.86,7.31,"Female"
"360",7.52,7.82,7.67,8.21,8.38,"Male"
"361",6.33,6.76,5.7,5.18,5.31,"Male"
"362",7.33,6.62,6.26,6.33,6.81,"Male"
"363",7.89,7.97,7.59,8.25,9.35,"Male"
